size threads sequential_time parallel_time builtin_time
940 8 0.000102 0.008609 0.000297
20 4 0.000003 0.003693 0.000003
680 2 0.000084 0.000364 0.000215
40 8 0.000004 0.007510 0.000008
600 2 0.000066 0.000553 0.000193
740 16 0.000088 0.022543 0.000248
440 16 0.000050 0.024248 0.000153
280 4 0.000030 0.003062 0.000113
760 8 0.000085 0.009139 0.000231
640 32 0.000075 0.044518 0.000233
60 2 0.000006 0.000948 0.000012
180 4 0.000020 0.004024 0.000103
320 8 0.000033 0.008279 0.000116
140 32 0.000015 0.026632 0.000079
320 4 0.000034 0.004099 0.000120
780 4 0.000097 0.003635 0.000269
360 32 0.000038 0.036293 0.000135
900 8 0.000102 0.010010 0.000318
360 4 0.000040 0.003416 0.000133
220 2 0.000028 0.000888 0.000092
820 4 0.000101 0.004050 0.000282
380 4 0.000043 0.004112 0.000134
40 4 0.000004 0.003402 0.000008
180 8 0.000020 0.010204 0.000091
340 16 0.000032 0.019148 0.000132
960 8 0.000117 0.009836 0.000316
660 4 0.000065 0.003106 0.000199
420 2 0.000057 0.001264 0.000140
640 8 0.000070 0.010959 0.000216
960 2 0.000138 0.000974 0.000295
980 4 0.000106 0.001789 0.000294
880 16 0.000105 0.021940 0.000301
620 8 0.000049 0.009627 0.000155
920 4 0.000074 0.003554 0.000222
140 8 0.000013 0.009498 0.000074
60 32 0.000005 0.024359 0.000013
760 2 0.000079 0.000697 0.000228
660 32 0.000078 0.041611 0.000196
460 32 0.000050 0.033627 0.000158
380 16 0.000038 0.021090 0.000114
500 32 0.000052 0.044571 0.000152
900 32 0.000112 0.042642 0.000314
960 32 0.000114 0.037654 0.000306
20 16 0.000003 0.010244 0.000003
800 2 0.000098 0.001200 0.000261
240 8 0.000024 0.009596 0.000091
820 8 0.000094 0.008831 0.000257
860 4 0.000102 0.004236 0.000284
300 8 0.000029 0.010459 0.000103
440 8 0.000049 0.008598 0.000156
1000 16 0.000111 0.020441 0.000320
400 8 0.000043 0.009353 0.000131
480 16 0.000052 0.021822 0.000187
240 2 0.000025 0.000637 0.000100
100 16 0.000009 0.016269 0.000020
400 16 0.000043 0.017735 0.000137
480 2 0.000056 0.000973 0.000160
640 2 0.000076 0.000870 0.000206
140 2 0.000014 0.000584 0.000074
260 4 0.000027 0.003308 0.000102
560 32 0.000058 0.037347 0.000192
220 4 0.000022 0.003587 0.000085
940 4 0.000124 0.003747 0.000309
120 2 0.000015 0.000517 0.000039
580 8 0.000068 0.007574 0.000210
680 8 0.000072 0.009612 0.000213
960 16 0.000110 0.022323 0.000297
240 32 0.000024 0.026078 0.000089
400 2 0.000048 0.000629 0.000133
320 2 0.000046 0.001625 0.000122
720 4 0.000084 0.002997 0.000241
200 4 0.000020 0.002747 0.000077
260 2 0.000027 0.000574 0.000107
220 32 0.000023 0.027507 0.000083
120 16 0.000011 0.016202 0.000025
340 32 0.000036 0.034550 0.000129
80 32 0.000008 0.022099 0.000017
20 2 0.000003 0.000839 0.000003
60 8 0.000005 0.005354 0.000012
540 4 0.000062 0.003856 0.000196
520 4 0.000061 0.003738 0.000182
80 4 0.000011 0.003993 0.000023
300 16 0.000030 0.022758 0.000108
660 2 0.000088 0.001129 0.000229
420 8 0.000054 0.010987 0.000157
600 8 0.000066 0.008818 0.000205
740 4 0.000087 0.003809 0.000268
820 16 0.000106 0.018546 0.000290
580 2 0.000080 0.001566 0.000232
520 16 0.000071 0.023211 0.000185
760 4 0.000086 0.004156 0.000226
360 2 0.000036 0.000350 0.000120
300 2 0.000032 0.000567 0.000110
840 4 0.000088 0.003914 0.000240
700 32 0.000077 0.038345 0.000209
220 8 0.000024 0.009336 0.000085
40 32 0.000003 0.012894 0.000008
760 16 0.000094 0.022574 0.000268
380 32 0.000038 0.037571 0.000117
200 8 0.000020 0.009975 0.000079
900 4 0.000104 0.002388 0.000322
1000 4 0.000125 0.003793 0.000335
120 32 0.000013 0.022042 0.000026
660 16 0.000067 0.022548 0.000198
560 16 0.000058 0.018847 0.000180
540 2 0.000065 0.000791 0.000170
480 4 0.000050 0.003123 0.000171
880 8 0.000102 0.011237 0.000290
980 16 0.000115 0.023359 0.000284
740 32 0.000075 0.048287 0.000230
440 32 0.000050 0.045205 0.000167
800 16 0.000088 0.021898 0.000250
80 2 0.000011 0.001132 0.000024
260 32 0.000029 0.044879 0.000110
660 8 0.000076 0.010599 0.000222
280 8 0.000030 0.008427 0.000100
680 32 0.000072 0.040261 0.000223
440 4 0.000047 0.002270 0.000137
920 32 0.000099 0.044633 0.000288
960 4 0.000112 0.003870 0.000298
220 16 0.000024 0.021802 0.000085
580 16 0.000061 0.022914 0.000190
20 32 0.000002 0.011664 0.000003
80 8 0.000008 0.007827 0.000016
620 2 0.000084 0.000526 0.000207
680 16 0.000078 0.024051 0.000227
720 32 0.000082 0.026984 0.000237
520 8 0.000057 0.008919 0.000177
180 2 0.000018 0.000764 0.000080
580 32 0.000064 0.041938 0.000191
460 8 0.000060 0.011830 0.000160
360 16 0.000042 0.023049 0.000155
500 2 0.000064 0.001052 0.000175
280 16 0.000027 0.018540 0.000118
160 4 0.000015 0.003599 0.000068
1000 32 0.000117 0.049524 0.000324
940 16 0.000109 0.020173 0.000310
160 16 0.000012 0.018256 0.000073
480 8 0.000049 0.009851 0.000160
800 32 0.000087 0.039447 0.000243
440 2 0.000059 0.000914 0.000154
760 32 0.000084 0.038902 0.000235
980 2 0.000111 0.000748 0.000356
860 8 0.000092 0.006673 0.000263
60 16 0.000006 0.016555 0.000012
460 2 0.000066 0.000898 0.000165
500 8 0.000054 0.010417 0.000164
620 4 0.000081 0.003433 0.000221
340 4 0.000035 0.004164 0.000136
600 32 0.000073 0.046801 0.000218
640 16 0.000074 0.024869 0.000218
900 2 0.000118 0.001461 0.000282
360 8 0.000038 0.008963 0.000128
400 4 0.000041 0.004126 0.000123
780 32 0.000084 0.033118 0.000237
620 16 0.000066 0.022346 0.000210
560 8 0.000061 0.008626 0.000192
740 8 0.000089 0.009703 0.000235
200 32 0.000020 0.025494 0.000080
780 8 0.000088 0.010542 0.000258
780 16 0.000084 0.022033 0.000231
820 2 0.000118 0.001129 0.000262
640 4 0.000067 0.004141 0.000206
200 16 0.000020 0.020289 0.000076
620 32 0.000072 0.049896 0.000215
800 8 0.000084 0.009151 0.000237
1000 2 0.000108 0.000407 0.000294
260 8 0.000024 0.010480 0.000118
460 4 0.000051 0.003163 0.000170
860 2 0.000125 0.001091 0.000317
720 8 0.000080 0.010879 0.000235
160 32 0.000016 0.038076 0.000082
860 32 0.000093 0.039427 0.000266
320 16 0.000032 0.021870 0.000116
920 16 0.000096 0.020927 0.000273
680 4 0.000078 0.003653 0.000261
20 8 0.000003 0.006074 0.000004
940 32 0.000098 0.044203 0.000288
180 16 0.000019 0.020244 0.000091
980 32 0.000110 0.046435 0.000282
500 4 0.000056 0.002477 0.000166
380 8 0.000041 0.010057 0.000124
940 2 0.000120 0.001124 0.000301
240 4 0.000027 0.004537 0.000096
340 8 0.000038 0.009125 0.000126
840 8 0.000103 0.010145 0.000271
980 8 0.000113 0.009017 0.000317
380 2 0.000048 0.001420 0.000144
880 2 0.000105 0.000725 0.000293
560 4 0.000061 0.002878 0.000193
720 16 0.000083 0.020477 0.000262
260 16 0.000039 0.022828 0.000110
540 16 0.000057 0.021704 0.000183
880 32 0.000102 0.050850 0.000317
280 32 0.000029 0.039823 0.000105
40 2 0.000004 0.000829 0.000022
840 2 0.000104 0.001059 0.000302
140 4 0.000014 0.003085 0.000073
560 2 0.000057 0.000402 0.000169
480 32 0.000054 0.039300 0.000183
780 2 0.000084 0.000800 0.000221
140 16 0.000013 0.018054 0.000077
420 32 0.000044 0.040255 0.000152
100 8 0.000010 0.007543 0.000026
120 4 0.000012 0.003558 0.000028
540 8 0.000061 0.010634 0.000195
780 32 0.000087 0.040033 0.000238
600 32 0.000070 0.035324 0.000214
360 4 0.000043 0.003423 0.000133
880 32 0.000112 0.049991 0.000299
380 32 0.000043 0.032103 0.000138
600 16 0.000061 0.021701 0.000192
560 2 0.000061 0.000744 0.000190
620 16 0.000066 0.020982 0.000204
960 4 0.000114 0.003811 0.000313
920 32 0.000106 0.041326 0.000315
80 2 0.000010 0.000594 0.000021
200 4 0.000022 0.003868 0.000086
20 2 0.000002 0.000710 0.000003
1000 32 0.000123 0.044914 0.000330
980 2 0.000123 0.000883 0.000332
640 16 0.000066 0.024225 0.000211
440 16 0.000043 0.020451 0.000133
340 32 0.000075 0.041628 0.000131
800 16 0.000098 0.024807 0.000255
500 2 0.000066 0.001359 0.000179
320 2 0.000047 0.000917 0.000139
20 4 0.000004 0.001961 0.000003
500 4 0.000064 0.003456 0.000208
540 16 0.000059 0.022347 0.000180
500 16 0.000054 0.022043 0.000159
100 4 0.000011 0.003793 0.000026
680 4 0.000092 0.003587 0.000262
500 8 0.000063 0.009471 0.000197
100 16 0.000011 0.019451 0.000023
520 16 0.000047 0.019147 0.000155
420 8 0.000042 0.009474 0.000140
720 8 0.000085 0.010934 0.000237
820 4 0.000098 0.003106 0.000281
520 4 0.000063 0.002906 0.000192
920 8 0.000106 0.010557 0.000305
840 8 0.000114 0.010414 0.000284
460 2 0.000074 0.000931 0.000187
140 16 0.000015 0.017444 0.000090
80 32 0.000008 0.024148 0.000017
40 32 0.000004 0.012016 0.000008
960 16 0.000106 0.022768 0.000295
80 8 0.000008 0.007820 0.000017
200 2 0.000025 0.001022 0.000091
600 8 0.000060 0.010115 0.000183
260 8 0.000029 0.009169 0.000101
680 8 0.000080 0.010094 0.000214
960 8 0.000117 0.009690 0.000295
820 16 0.000092 0.014474 0.000260
260 16 0.000025 0.022512 0.000103
660 8 0.000070 0.010300 0.000220
