size threads sequential_time parallel_time builtin_time
700000 16 0.095407 0.082947 0.269681
300000 16 0.039145 0.040515 0.108690
900000 16 0.126809 0.109767 0.354797
950000 32 0.135054 0.126378 0.374282
750000 4 0.103326 0.083078 0.289894
850000 16 0.119532 0.098422 0.334594
900000 4 0.124400 0.100407 0.353034
200000 32 0.025501 0.057362 0.070919
700000 4 0.095776 0.079482 0.275873
550000 2 0.073507 0.063571 0.207762
600000 32 0.081717 0.090903 0.229299
900000 32 0.124673 0.120247 0.354415
450000 32 0.060643 0.081805 0.167080
500000 32 0.067107 0.084735 0.188269
150000 4 0.018392 0.018644 0.051889
750000 8 0.103303 0.086016 0.291276
550000 32 0.074413 0.087777 0.208887
600000 2 0.082375 0.072151 0.227739
200000 16 0.024881 0.036398 0.071792
750000 16 0.103031 0.091867 0.291581
600000 4 0.081607 0.070888 0.234657
500000 2 0.067477 0.062844 0.188418
50000 4 0.007495 0.006882 0.015571
350000 32 0.045740 0.072683 0.128036
1000000 8 0.138712 0.110637 0.397099
300000 2 0.040295 0.033774 0.107951
100000 16 0.013669 0.029732 0.036090
950000 8 0.132605 0.112671 0.377106
50000 2 0.006835 0.007464 0.016032
650000 4 0.088076 0.072799 0.248598
50000 32 0.005946 0.048237 0.016310
350000 8 0.047013 0.041153 0.127173
250000 4 0.032091 0.028295 0.089735
150000 16 0.019357 0.031163 0.052180
800000 32 0.110462 0.109023 0.312666
950000 16 0.132740 0.113346 0.374231
800000 16 0.111299 0.099488 0.309949
400000 4 0.053105 0.045840 0.146261
550000 16 0.073975 0.072474 0.212077
500000 4 0.067054 0.053984 0.186713
150000 32 0.019116 0.052874 0.053390
100000 32 0.013226 0.048852 0.034774
250000 2 0.032038 0.030630 0.089250
750000 2 0.102809 0.089015 0.290884
450000 2 0.060334 0.052284 0.167073
650000 16 0.089644 0.079635 0.249132
100000 8 0.012380 0.018519 0.034216
200000 8 0.025531 0.029355 0.072963
1000000 32 0.138986 0.133831 0.395236
300000 32 0.039883 0.058979 0.110561
650000 2 0.088136 0.081573 0.251047
450000 4 0.060078 0.050537 0.167278
50000 16 0.005699 0.017346 0.017219
650000 8 0.089626 0.077133 0.248659
300000 32 0.040023 0.062605 0.108183
600000 4 0.080887 0.069450 0.228356
400000 16 0.053352 0.056636 0.147057
700000 16 0.096120 0.083552 0.276495
100000 2 0.012740 0.011977 0.033976
450000 4 0.061772 0.051778 0.167594
850000 8 0.117361 0.098376 0.340106
900000 2 0.126405 0.109461 0.354924
950000 32 0.132206 0.125288 0.376118
150000 8 0.019251 0.021938 0.052631
250000 2 0.031673 0.031182 0.089003
900000 32 0.125841 0.122180 0.355954
600000 32 0.082484 0.093688 0.228712
500000 32 0.067145 0.086504 0.188143
100000 8 0.012732 0.015701 0.034983
400000 32 0.052787 0.072130 0.148842
200000 4 0.026078 0.021906 0.070777
500000 8 0.066647 0.059104 0.186353
800000 16 0.110008 0.096704 0.317586
350000 16 0.046419 0.052766 0.129767
850000 4 0.117760 0.104621 0.332976
450000 2 0.059467 0.053370 0.167568
900000 8 0.125047 0.106938 0.362036
50000 4 0.005633 0.007657 0.016520
550000 32 0.073926 0.084887 0.207764
150000 32 0.019404 0.053242 0.052995
800000 8 0.110134 0.091188 0.309975
50000 8 0.005844 0.011467 0.015882
250000 8 0.032526 0.031765 0.090697
100000 32 0.012860 0.052954 0.035270
800000 2 0.110343 0.095519 0.311338
350000 4 0.045683 0.042650 0.128598
300000 16 0.041583 0.045774 0.109579
300000 4 0.039560 0.036533 0.109945
700000 4 0.096172 0.078284 0.272062
100000 4 0.011865 0.012002 0.035098
200000 32 0.026131 0.057478 0.072899
950000 8 0.132444 0.111122 0.373797
750000 2 0.102650 0.089921 0.290597
550000 16 0.074044 0.071622 0.207894
650000 8 0.089246 0.073973 0.249266
750000 4 0.102618 0.083176 0.288962
1000000 32 0.138927 0.139165 0.395169
200000 8 0.025535 0.030264 0.070866
950000 4 0.133706 0.110079 0.374970
50000 16 0.005945 0.021450 0.016408
300000 8 0.039252 0.035579 0.108533
200000 2 0.025177 0.021222 0.069197
650000 16 0.089032 0.080205 0.249238
650000 2 0.088257 0.074399 0.248364
400000 2 0.052411 0.050383 0.146868
550000 2 0.073964 0.066996 0.208332
150000 2 0.018400 0.017573 0.050733
850000 16 0.117820 0.101155 0.335142
850000 2 0.118891 0.104012 0.332991
950000 2 0.131636 0.123462 0.374377
500000 4 0.067463 0.055991 0.188034
800000 32 0.111045 0.104432 0.312550
850000 32 0.118961 0.111517 0.331899
900000 16 0.125152 0.107817 0.355207
1000000 4 0.138359 0.114918 0.394793
150000 4 0.018513 0.017343 0.052410
300000 2 0.039588 0.036828 0.108708
350000 32 0.046513 0.068694 0.128076
600000 8 0.081938 0.067189 0.228986
500000 16 0.067800 0.065617 0.189100
1000000 8 0.138938 0.115180 0.395717
700000 8 0.096237 0.080508 0.269649
50000 32 0.005758 0.047564 0.017102
250000 16 0.032358 0.041471 0.090145
750000 16 0.103009 0.090021 0.290028
50000 2 0.005794 0.006798 0.016868
800000 4 0.110130 0.093706 0.310050
650000 4 0.089158 0.075449 0.248353
150000 16 0.018834 0.034159 0.052751
450000 8 0.061537 0.056230 0.167470
250000 4 0.032959 0.028571 0.088626
350000 2 0.045396 0.044746 0.127440
550000 4 0.073905 0.067768 0.208326
900000 4 0.125018 0.104723 0.354470
100000 16 0.012537 0.029449 0.034714
1000000 2 0.138833 0.119137 0.394704
1000000 16 0.139865 0.114487 0.395188
600000 16 0.081644 0.075852 0.227946
550000 8 0.074050 0.063965 0.208005
400000 8 0.052863 0.050502 0.147804
750000 8 0.103032 0.083209 0.291269
200000 16 0.025691 0.034477 0.071853
500000 2 0.066716 0.064759 0.187927
250000 32 0.032718 0.057734 0.089616
450000 16 0.060280 0.061990 0.167964
350000 8 0.046867 0.044852 0.128488
400000 4 0.052862 0.046068 0.147261
700000 2 0.097610 0.080562 0.268907
950000 16 0.133311 0.114138 0.373798
650000 32 0.089091 0.097015 0.248636
600000 2 0.083909 0.072046 0.227943
700000 32 0.096467 0.102957 0.271201
750000 32 0.106328 0.106858 0.290092
450000 32 0.061359 0.081628 0.167343
700000 16 0.096016 0.089181 0.268950
850000 32 0.118432 0.112950 0.333172
200000 16 0.025272 0.037333 0.070244
550000 16 0.074129 0.072980 0.209281
700000 32 0.095125 0.098155 0.268826
500000 2 0.067549 0.060973 0.187697
200000 2 0.025307 0.024585 0.069513
700000 2 0.097897 0.083069 0.271742
300000 16 0.039842 0.041882 0.108582
750000 2 0.102587 0.080972 0.289379
650000 8 0.089091 0.077855 0.247952
600000 16 0.082781 0.078821 0.235445
150000 32 0.019450 0.051535 0.052885
900000 32 0.125016 0.119624 0.352925
500000 32 0.068070 0.075515 0.193172
50000 4 0.006549 0.006624 0.015618
550000 2 0.074520 0.066028 0.209730
150000 16 0.020298 0.031540 0.051160
550000 4 0.074060 0.066867 0.207699
600000 8 0.082398 0.071027 0.233496
750000 32 0.102429 0.101466 0.290805
800000 16 0.110327 0.098379 0.310355
450000 2 0.061474 0.057877 0.167341
300000 8 0.041477 0.035959 0.108386
650000 4 0.088538 0.076829 0.254084
1000000 4 0.138940 0.125265 0.396126
250000 4 0.032680 0.028734 0.089359
950000 8 0.132989 0.104960 0.373788
900000 8 0.125477 0.109592 0.354477
400000 32 0.053957 0.072995 0.147832
200000 4 0.024924 0.023123 0.069656
900000 2 0.125385 0.116250 0.354296
750000 8 0.103477 0.086981 0.291739
1000000 8 0.140037 0.113804 0.397756
100000 4 0.013331 0.014867 0.036044
850000 2 0.118024 0.093731 0.334876
450000 8 0.061021 0.054409 0.166983
300000 2 0.038803 0.035710 0.109157
600000 2 0.082937 0.073867 0.227720
150000 4 0.019578 0.017553 0.052039
700000 8 0.096378 0.080484 0.270197
50000 32 0.005630 0.042725 0.016384
350000 16 0.046553 0.050964 0.128526
950000 16 0.134032 0.115973 0.380900
250000 16 0.031741 0.042308 0.089640
250000 8 0.032077 0.030420 0.090749
450000 4 0.060308 0.050477 0.167372
500000 16 0.067239 0.066039 0.186899
300000 4 0.038544 0.036857 0.111121
350000 2 0.045764 0.042958 0.127069
400000 16 0.053768 0.055182 0.146678
800000 2 0.109960 0.101988 0.312220
800000 32 0.110815 0.112347 0.310245
1000000 16 0.139061 0.119913 0.396061
50000 16 0.005773 0.025140 0.016551
50000 8 0.006242 0.011618 0.016820
100000 32 0.013750 0.049932 0.035276
650000 2 0.088562 0.077635 0.250025
400000 2 0.054184 0.046677 0.146653
1000000 2 0.139776 0.119745 0.398768
500000 8 0.067175 0.056126 0.188797
600000 32 0.080818 0.095248 0.230678
650000 16 0.089316 0.080638 0.248425
150000 8 0.018517 0.020210 0.053537
300000 32 0.041341 0.067051 0.108812
450000 16 0.061878 0.060234 0.167418
750000 4 0.103017 0.083087 0.290476
250000 32 0.032246 0.059692 0.090545
150000 2 0.019209 0.017961 0.051683
200000 32 0.025635 0.050247 0.071103
350000 4 0.045835 0.038322 0.127186
550000 8 0.074451 0.068731 0.208510
