size threads sequential_time parallel_time builtin_time
920 32 0.000073 0.002595 0.000300
960 4 0.000073 0.000395 0.000260
220 16 0.000014 0.001877 0.000058
580 16 0.000043 0.003242 0.000111
20 32 0.000002 0.000861 0.000003
80 8 0.000006 0.000672 0.000014
620 2 0.000049 0.000181 0.000192
680 16 0.000054 0.001469 0.000214
720 32 0.000060 0.003048 0.000221
520 8 0.000041 0.000790 0.000159
180 2 0.000013 0.000148 0.000056
580 32 0.000042 0.001982 0.000106
460 8 0.000035 0.000665 0.000141
360 16 0.000026 0.001314 0.000110
500 2 0.000034 0.000173 0.000113
280 16 0.000020 0.001402 0.000072
160 4 0.000012 0.000377 0.000047
1000 32 0.000081 0.002634 0.000320
940 16 0.000076 0.001441 0.000299
160 16 0.000011 0.001222 0.000046
480 8 0.000033 0.000757 0.000143
800 32 0.000062 0.002463 0.000221
440 2 0.000029 0.000175 0.000102
760 32 0.000059 0.003512 0.000239
980 2 0.000080 0.000315 0.000324
860 8 0.000072 0.000713 0.000268
60 16 0.000004 0.001103 0.000010
460 2 0.000035 0.000171 0.000141
500 8 0.000034 0.000762 0.000111
620 4 0.000048 0.000366 0.000187
340 4 0.000025 0.000379 0.000110
600 32 0.000047 0.002614 0.000185
640 16 0.000050 0.001391 0.000197
900 2 0.000068 0.000219 0.000209
360 8 0.000025 0.000754 0.000106
400 4 0.000030 0.000338 0.000105
780 32 0.000059 0.003283 0.000211
620 16 0.000049 0.001478 0.000192
560 8 0.000043 0.000741 0.000169
740 8 0.000052 0.000782 0.000226
200 32 0.000013 0.001574 0.000050
780 8 0.000059 0.000768 0.000208
780 16 0.000058 0.001380 0.000216
820 2 0.000062 0.000203 0.000217
640 4 0.000051 0.000366 0.000196
200 16 0.000013 0.001258 0.000047
620 32 0.000049 0.002801 0.000193
800 8 0.000060 0.000838 0.000219
1000 2 0.000081 0.000213 0.000312
260 8 0.000016 0.000811 0.000077
460 4 0.000035 0.000362 0.000138
860 2 0.000070 0.000248 0.000263
720 8 0.000057 0.000720 0.000221
160 32 0.000012 0.002224 0.000044
860 32 0.000069 0.003198 0.000272
